year,month,cost,cost-push,govt,other-effect,purchase,rates,redistribution,savings,social,trade,uncertain
2012,1,0.4,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0
2012,2,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.2
2012,3,0.1429,0.0,0.0,0.0,0.0,0.2857,0.0,0.2857,0.1429,0.0,0.1429
2012,4,0.0909,0.0,0.0,0.0909,0.0,0.4545,0.0,0.2727,0.0,0.0909,0.0
2012,5,0.1429,0.1429,0.0,0.0,0.0,0.7143,0.0,0.0,0.0,0.0,0.0
2012,6,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
2012,7,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.6667,0.0,0.0,0.0
2012,8,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.4,0.0,0.0,0.0
2012,9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,10,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.0,0.0,0.0
2012,11,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.0,0.0,0.0
2012,12,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0
2013,1,0.1667,0.0,0.0,0.1667,0.0,0.5,0.0,0.1667,0.0,0.0,0.0
2013,2,0.0,0.1,0.0,0.0,0.2,0.3,0.0,0.3,0.0,0.1,0.0
2013,3,0.25,0.125,0.125,0.0,0.0,0.125,0.0,0.375,0.0,0.0,0.0
2013,4,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0
2013,5,0.1429,0.1429,0.0,0.1429,0.1429,0.1429,0.0,0.2857,0.0,0.0,0.0
2013,6,0.2857,0.1429,0.0,0.1429,0.0,0.0,0.0,0.4286,0.0,0.0,0.0
2013,7,0.0,0.2,0.0,0.0,0.2,0.4,0.0,0.2,0.0,0.0,0.0
2013,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2013,9,0.1429,0.0,0.0,0.0,0.0,0.5714,0.0,0.2857,0.0,0.0,0.0
2013,10,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.0
2013,11,0.4286,0.0,0.0,0.0,0.0,0.2857,0.0,0.0,0.2857,0.0,0.0
2013,12,0.3333,0.0,0.0,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,0.0
2014,1,0.3333,0.0,0.0,0.0,0.0,0.5,0.0,0.1667,0.0,0.0,0.0
2014,2,0.0,0.0,0.0,0.0435,0.2174,0.3478,0.0,0.2609,0.0,0.087,0.0435
2014,3,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0
2014,4,0.3333,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0
2014,5,0.1429,0.0,0.0,0.0,0.1429,0.2857,0.0,0.2857,0.0,0.0,0.1429
2014,6,0.1111,0.0,0.0,0.0,0.0,0.4444,0.0,0.3333,0.0,0.0,0.1111
2014,7,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2014,8,0.0,0.0,0.0,0.0,0.0,0.8333,0.1667,0.0,0.0,0.0,0.0
2014,9,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0
2014,10,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.6667,0.0,0.0,0.0
2014,11,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,0.3333,0.0,0.0,0.0
2014,12,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
2015,1,0.3333,0.0,0.0,0.0,0.0833,0.4167,0.0,0.1667,0.0,0.0,0.0
2015,2,0.1429,0.0,0.0,0.0,0.1429,0.5714,0.0,0.1429,0.0,0.0,0.0
2015,3,0.1429,0.0714,0.0714,0.0,0.0,0.2857,0.0,0.3571,0.0,0.0714,0.0
2015,4,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.8571,0.0,0.0,0.0
2015,5,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.0
2015,6,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
2015,7,0.2222,0.0,0.0,0.0,0.0,0.5556,0.1111,0.0,0.0,0.0,0.1111
2015,8,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.2,0.2,0.0
2015,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2015,10,0.125,0.0,0.0,0.25,0.0,0.625,0.0,0.0,0.0,0.0,0.0
2015,11,0.25,0.0,0.0,0.0,0.125,0.25,0.0,0.375,0.0,0.0,0.0
2015,12,0.25,0.0,0.0,0.0,0.125,0.5,0.0,0.125,0.0,0.0,0.0
2016,1,0.1667,0.0,0.0,0.0,0.0,0.8333,0.0,0.0,0.0,0.0,0.0
2016,2,0.0,0.0,0.0,0.125,0.0,0.25,0.0,0.625,0.0,0.0,0.0
2016,3,0.0909,0.0909,0.0,0.0,0.0,0.1818,0.0,0.5455,0.0909,0.0,0.0
2016,4,0.0667,0.0,0.0,0.0,0.1333,0.5333,0.0,0.1333,0.0667,0.0667,0.0
2016,5,0.0667,0.1333,0.0,0.0,0.0,0.5333,0.0,0.2,0.0,0.0667,0.0
2016,6,0.0909,0.0909,0.0,0.0,0.1818,0.4545,0.0,0.0909,0.0,0.0909,0.0
2016,7,0.1111,0.0,0.0,0.0,0.0,0.5556,0.0,0.1111,0.1111,0.0,0.1111
2016,8,0.0667,0.0,0.0,0.2,0.0,0.5333,0.0667,0.0667,0.0667,0.0,0.0
2016,9,0.0833,0.0,0.0,0.0,0.0,0.625,0.0417,0.2083,0.0417,0.0,0.0
2016,10,0.1538,0.0385,0.0,0.0,0.0769,0.5385,0.0,0.1923,0.0,0.0,0.0
2016,11,0.0667,0.1,0.0667,0.0,0.0333,0.4,0.0,0.2333,0.0333,0.0,0.0667
2016,12,0.0526,0.0263,0.0,0.0263,0.0263,0.2632,0.0,0.5,0.0789,0.0,0.0263
2017,1,0.05,0.0,0.0,0.0,0.0,0.35,0.0,0.5,0.05,0.0,0.05
2017,2,0.0833,0.0417,0.0833,0.0,0.0417,0.375,0.0,0.3333,0.0,0.0,0.0417
2017,3,0.1852,0.0,0.0,0.0741,0.0,0.4815,0.0,0.2222,0.0,0.0,0.037
2017,4,0.2222,0.0,0.0,0.0,0.0,0.3333,0.0,0.1111,0.0,0.1111,0.2222
2017,5,0.1429,0.0952,0.0,0.0952,0.0952,0.2857,0.0,0.1905,0.0476,0.0,0.0476
2017,6,0.1053,0.0263,0.0263,0.1053,0.0263,0.5,0.0,0.1053,0.0,0.0789,0.0263
2017,7,0.093,0.0,0.0,0.0233,0.0465,0.5581,0.0233,0.1628,0.093,0.0,0.0
2017,8,0.093,0.0233,0.0,0.0698,0.0,0.5349,0.0,0.1628,0.0465,0.0233,0.0465
2017,9,0.1905,0.0,0.0,0.0,0.0476,0.6667,0.0,0.0476,0.0,0.0,0.0476
2017,10,0.0,0.0526,0.0,0.0526,0.1053,0.5263,0.0,0.2632,0.0,0.0,0.0
2017,11,0.1429,0.0,0.0,0.0714,0.0,0.5714,0.0,0.0714,0.0,0.1429,0.0
2017,12,0.1,0.0,0.0,0.0,0.1,0.6,0.0,0.0,0.2,0.0,0.0
2018,1,0.2,0.0,0.0,0.0667,0.0,0.3333,0.0,0.0,0.1333,0.0,0.2667
2018,2,0.0256,0.0128,0.0,0.0,0.0,0.4231,0.0,0.3462,0.0,0.0,0.1923
2018,3,0.0667,0.0333,0.0,0.0333,0.0,0.5667,0.0,0.1333,0.0,0.0,0.1667
2018,4,0.0263,0.0,0.0,0.0,0.0,0.5,0.0,0.3684,0.0263,0.0,0.0789
2018,5,0.0588,0.0,0.0,0.0,0.0,0.6765,0.0294,0.1765,0.0294,0.0,0.0294
2018,6,0.0526,0.1053,0.0,0.0,0.0,0.6316,0.0,0.1579,0.0,0.0526,0.0
2018,7,0.0667,0.0,0.0,0.0,0.0,0.6,0.0,0.2667,0.0,0.0667,0.0
2018,8,0.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,0.1429
2018,9,0.069,0.0,0.0,0.069,0.0,0.5172,0.0,0.2759,0.0,0.0345,0.0345
2018,10,0.1667,0.0833,0.0,0.0,0.0833,0.4167,0.0,0.1667,0.0,0.0,0.0833
2018,11,0.0,0.0,0.0,0.0,0.2,0.7333,0.0,0.0667,0.0,0.0,0.0
2018,12,0.0952,0.0,0.0,0.0,0.0,0.619,0.0,0.2857,0.0,0.0,0.0
2019,1,0.2174,0.0,0.0,0.0,0.087,0.5652,0.0,0.0435,0.0,0.0435,0.0435
2019,2,0.2692,0.1538,0.0,0.0,0.0,0.3462,0.0,0.0769,0.1538,0.0,0.0
2019,3,0.1515,0.0303,0.0303,0.0,0.0,0.3939,0.0,0.2121,0.1212,0.0,0.0606
2019,4,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.125,0.125
2019,5,0.0,0.0833,0.0,0.0,0.0,0.6667,0.0,0.0833,0.0833,0.0833,0.0
2019,6,0.0,0.0,0.1,0.0,0.1,0.5,0.0,0.1,0.1,0.0,0.1
2019,7,0.0526,0.0,0.0,0.0,0.0,0.7895,0.0,0.1579,0.0,0.0,0.0
2019,8,0.2727,0.0,0.0,0.0,0.0909,0.1818,0.0,0.3636,0.0909,0.0,0.0
2019,9,0.3846,0.0385,0.0,0.0385,0.1154,0.2692,0.0,0.0769,0.0385,0.0385,0.0
2019,10,0.1961,0.0392,0.0,0.1373,0.0588,0.3333,0.0,0.0588,0.1373,0.0392,0.0
2019,11,0.1364,0.0,0.0227,0.0,0.0682,0.5227,0.0,0.1364,0.1136,0.0,0.0
2019,12,0.1967,0.0656,0.0,0.0,0.0328,0.4098,0.0,0.1639,0.0492,0.0328,0.0492
2020,1,0.1224,0.0,0.0,0.0204,0.0408,0.449,0.0408,0.2449,0.0408,0.0204,0.0204
2020,2,0.2258,0.0,0.0645,0.0645,0.0,0.3226,0.0,0.2903,0.0323,0.0,0.0
2020,3,0.0833,0.0,0.0,0.0,0.0104,0.1562,0.0104,0.7083,0.0208,0.0104,0.0
2020,4,0.0168,0.0,0.0067,0.0034,0.0034,0.0034,0.0034,0.9596,0.0,0.0034,0.0
2020,5,0.1005,0.005,0.005,0.0151,0.0101,0.1055,0.0101,0.7286,0.0151,0.0,0.005
2020,6,0.0559,0.014,0.007,0.007,0.049,0.0979,0.007,0.6993,0.049,0.007,0.007
2020,7,0.1429,0.0229,0.0,0.0114,0.0686,0.2,0.0,0.5029,0.0229,0.0229,0.0057
2020,8,0.0543,0.0109,0.0054,0.019,0.0217,0.4484,0.0054,0.3859,0.0245,0.0054,0.019
2020,9,0.0491,0.0151,0.0,0.0453,0.0151,0.5094,0.0,0.3396,0.0,0.0038,0.0226
2020,10,0.1328,0.0312,0.0078,0.0078,0.0,0.2656,0.0078,0.4922,0.0234,0.0234,0.0078
2020,11,0.0962,0.0,0.0192,0.0288,0.0288,0.1635,0.0096,0.625,0.0192,0.0,0.0096
2020,12,0.094,0.0171,0.0,0.0171,0.0513,0.188,0.0256,0.5214,0.0342,0.0427,0.0085
2021,1,0.0667,0.0167,0.0056,0.0111,0.0278,0.2889,0.0056,0.5167,0.0111,0.0,0.05
2021,2,0.0498,0.0075,0.0075,0.0174,0.01,0.2811,0.0,0.5398,0.0174,0.0,0.0697
2021,3,0.0934,0.0177,0.0097,0.0209,0.0113,0.3349,0.0,0.438,0.0113,0.0032,0.0596
2021,4,0.0844,0.0311,0.0022,0.0156,0.0067,0.2889,0.0,0.48,0.0178,0.0133,0.06
2021,5,0.1046,0.0237,0.0043,0.0151,0.0129,0.3107,0.0043,0.329,0.0173,0.0119,0.1661
2021,6,0.0816,0.0275,0.0058,0.0525,0.0216,0.3614,0.0017,0.2989,0.0117,0.0067,0.1307
2021,7,0.2037,0.0449,0.0081,0.0081,0.0253,0.3452,0.0012,0.2359,0.0368,0.0104,0.0806
2021,8,0.1849,0.0664,0.0072,0.0,0.0233,0.2478,0.0072,0.2478,0.0521,0.0054,0.158
2021,9,0.2056,0.0444,0.0115,0.0164,0.0362,0.398,0.0082,0.1678,0.0395,0.0066,0.0658
2021,10,0.2319,0.0723,0.0071,0.0045,0.0277,0.3033,0.0071,0.1784,0.0348,0.0098,0.1231
2021,11,0.3089,0.0396,0.01,0.0331,0.0484,0.2623,0.01,0.1122,0.0691,0.0189,0.0874
2021,12,0.2954,0.0569,0.0122,0.0041,0.0427,0.3774,0.0081,0.1037,0.0427,0.0007,0.0562
2022,1,0.2176,0.0497,0.021,0.0072,0.0317,0.4214,0.002,0.1045,0.0502,0.0026,0.0922
2022,2,0.2375,0.0452,0.0301,0.0033,0.0437,0.3462,0.0024,0.1237,0.0499,0.0042,0.1138
2022,3,0.2488,0.0521,0.0118,0.0024,0.0216,0.3009,0.0065,0.2235,0.0517,0.0065,0.0741
2022,4,0.3086,0.0526,0.0129,0.0005,0.0263,0.3086,0.0062,0.1512,0.0526,0.0043,0.0761
2022,5,0.3036,0.0712,0.0105,0.0022,0.0264,0.3216,0.007,0.1094,0.0475,0.0066,0.094
2022,6,0.2546,0.0509,0.0148,0.004,0.0266,0.3766,0.0081,0.1192,0.0536,0.0034,0.0882
2022,7,0.3087,0.0857,0.0141,0.0045,0.0322,0.3276,0.0063,0.0812,0.0455,0.0098,0.0845
2022,8,0.2919,0.0623,0.0113,0.0088,0.0337,0.3593,0.0102,0.105,0.028,0.0082,0.0813
2022,9,0.2379,0.0686,0.0078,0.0042,0.0256,0.4346,0.0045,0.1129,0.0275,0.0055,0.0709
2022,10,0.2996,0.066,0.0133,0.0024,0.0366,0.35,0.0095,0.0921,0.056,0.0038,0.0708
2022,11,0.274,0.068,0.0174,0.0087,0.0378,0.3707,0.0046,0.0976,0.0573,0.0041,0.0598
2022,12,0.2569,0.0595,0.0101,0.002,0.0318,0.4314,0.0014,0.1122,0.0243,0.002,0.0683
